        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 3.314000+6 3.183200+0 3.316000+6 3.185300+0 3.318000+6 3.187000+0
 3.320000+6 3.188300+0 3.322000+6 3.189300+0 3.324000+6 3.189900+0
 3.326000+6 3.190300+0 3.328000+6 3.190300+0 3.330000+6 3.190100+0
 3.332000+6 3.189600+0 3.334000+6 3.188800+0 3.336000+6 3.187800+0
 3.338000+6 3.186500+0 3.340000+6 3.185000+0 3.345000+6 3.180400+0
 3.350000+6 3.174600+0 3.355000+6 3.167800+0 3.360000+6 3.160100+0
 3.370000+6 3.143000+0 3.380000+6 3.124200+0 3.390000+6 3.104700+0
 3.400000+6 3.088922+0 3.400500+6 3.088230+0 3.410000+6 3.076072+0
 3.420000+6 3.063800+0 3.430000+6 3.053000+0 3.435000+6 3.054700+0
 3.436000+6 3.058200+0 3.437000+6 3.065500+0 3.437500+6 3.072700+0
 3.438000+6 3.087400+0 3.438500+6 3.143200+0 3.439000+6 3.978200+0
 3.439500+6 4.043000+0 3.440000+6 3.602000+0 3.440500+6 3.729900+0
 3.441000+6 4.222400+0 3.441500+6 5.277700+0 3.441600+6 5.479100+0
 3.441700+6 5.609500+0 3.441800+6 5.638200+0 3.441900+6 5.556400+0
 3.442000+6 5.382200+0 3.442500+6 4.241700+0 3.443000+6 3.642200+0
 3.443500+6 3.385300+0 3.444000+6 3.261200+0 3.444500+6 3.193300+0
 3.445000+6 3.152300+0 3.450000+6 3.055100+0 3.455000+6 3.038800+0
 3.460000+6 3.030900+0 3.465000+6 3.025700+0 3.470000+6 3.021800+0
 3.475000+6 3.018700+0 3.480000+6 3.016400+0 3.490000+6 3.013700+0
 3.500000+6 3.013100+0 3.510000+6 3.014500+0 3.520000+6 3.017700+0
 3.530000+6 3.022400+0 3.540000+6 3.028500+0 3.550000+6 3.035500+0
 3.560000+6 3.043300+0 3.570000+6 3.051400+0 3.580000+6 3.059400+0
 3.590000+6 3.067000+0 3.600000+6 3.073700+0 3.610000+6 3.079100+0
 3.620000+6 3.082700+0 3.630000+6 3.084200+0 3.640000+6 3.083300+0
 3.642000+6 3.082800+0 3.644000+6 3.082200+0 3.645000+6 3.081900+0
 3.645200+6 3.081900+0 3.645400+6 3.081900+0 3.645600+6 3.082000+0
 3.645800+6 3.082200+0 3.646000+6 3.083000+0 3.646200+6 3.087900+0
 3.646400+6 3.107400+0 3.646600+6 3.084800+0 3.646800+6 3.082200+0
